player_name,team_name
Ryan Strome,Anaheim Ducks
Mason McTavish,Anaheim Ducks
Frank Vatrano,Anaheim Ducks
Troy Terry,Anaheim Ducks
Trevor Zegras,Anaheim Ducks
Brad Marchand,Boston Bruins
Pavel Zacha,Boston Bruins
Elias Lindholm,Boston Bruins
David Pastrnak,Boston Bruins
Mason Lohrei,Boston Bruins
Jason Zucker,Buffalo Sabres
JJ Peterka,Buffalo Sabres
Jack Quinn,Buffalo Sabres
Tage Thompson,Buffalo Sabres
Rasmus Dahlin,Buffalo Sabres
Nazem Kadri,Calgary Flames
Morgan Frost,Calgary Flames
Matt Coronato,Calgary Flames
MacKenzie Weegar,Calgary Flames
Jonathan Huberdeau,Calgary Flames
Andrei Svechnikov,Carolina Hurricanes
Sebastian Aho,Carolina Hurricanes
Mikko Rantanen,Carolina Hurricanes
Brent Burns,Carolina Hurricanes
Seth Jarvis,Carolina Hurricanes
Tyler Bertuzzi,Chicago Blackhawks
Ryan Donato,Chicago Blackhawks
Teuvo Teravainen,Chicago Blackhawks
Connor Bedard,Chicago Blackhawks
Seth Jones,Chicago Blackhawks
Artturi Lehkonen,Colorado Avalanche
Jonathan Drouin,Colorado Avalanche
Martin Necas,Colorado Avalanche
Nathan MacKinnon,Colorado Avalanche
Cale Makar,Colorado Avalanche
Dmitri Voronkov,Columbus Blue Jackets
Adam Fantilli,Columbus Blue Jackets
Kirill Marchenko,Columbus Blue Jackets
Zach Werenski,Columbus Blue Jackets
Kent Johnson,Columbus Blue Jackets
Matt Duchene,Dallas Stars
Roope Hintz,Dallas Stars
Jason Robertson,Dallas Stars
Wyatt Johnston,Dallas Stars
Thomas Harley,Dallas Stars
Alex DeBrincat,Detroit Red Wings
Dylan Larkin,Detroit Red Wings
Patrick Kane,Detroit Red Wings
Moritz Seider,Detroit Red Wings
Lucas Raymond,Detroit Red Wings
Zach Hyman,Edmonton Oilers
Ryan Nugent-Hopkins,Edmonton Oilers
Leon Draisaitl,Edmonton Oilers
Connor McDavid,Edmonton Oilers
Evan Bouchard,Edmonton Oilers
Sam Reinhart,Florida Panthers
Aleksander Barkov,Florida Panthers
Mackie Samoskevich,Florida Panthers
Carter Verhaeghe,Florida Panthers
Aaron Ekblad,Florida Panthers
Alex Laferriere,Los Angeles Kings
Anze Kopitar,Los Angeles Kings
Kevin Fiala,Los Angeles Kings
Drew Doughty,Los Angeles Kings
Adrian Kempe,Los Angeles Kings
Vinnie Hinostroza,Minnesota Wild
Joel Eriksson Ek,Minnesota Wild
Mats Zuccarello,Minnesota Wild
Matt Boldy,Minnesota Wild
Brock Faber,Minnesota Wild
Juraj Slafkovsky,Montreal Canadiens
Nick Suzuki,Montreal Canadiens
Cole Caufield,Montreal Canadiens
Patrik Laine,Montreal Canadiens
Lane Hutson,Montreal Canadiens
Filip Forsberg,Nashville Predators
Ryan O'Reilly,Nashville Predators
Jonathan Marchessault,Nashville Predators
Justin Barron,Nashville Predators
Roman Josi,Nashville Predators
Stefan Noesen,New Jersey Devils
Jack Hughes,New Jersey Devils
Nico Hischier,New Jersey Devils
Dougie Hamilton,New Jersey Devils
Jesper Bratt,New Jersey Devils
Anders Lee,New York Islanders
Bo Horvat,New York Islanders
Simon Holmstrom,New York Islanders
Tony DeAngelo,New York Islanders
Anthony Duclair,New York Islanders
Chris Kreider,New York Rangers
J.T. Miller,New York Rangers
Artemi Panarin,New York Rangers
Mika Zibanejad,New York Rangers
Adam Fox,New York Rangers
Adam Gaudette,Ottawa Senators
Tim Stützle,Ottawa Senators
Claude Giroux,Ottawa Senators
Drake Batherson,Ottawa Senators
Jake Sanderson,Ottawa Senators
Travis Konecny,Philadelphia Flyers
Scott Laughton,Philadelphia Flyers
Andrei Kuzmenko,Philadelphia Flyers
Matvei Michkov,Philadelphia Flyers
Rasmus Ristolainen,Philadelphia Flyers
Rickard Rakell,Pittsburgh Penguins
Sidney Crosby,Pittsburgh Penguins
Kevin Hayes,Pittsburgh Penguins
Erik Karlsson,Pittsburgh Penguins
Michael Bunting,Pittsburgh Penguins
Tyler Toffoli,San Jose Sharks
Will Smith,San Jose Sharks
William Eklund,San Jose Sharks
Jake Walman,San Jose Sharks
Macklin Celebrini,San Jose Sharks
Jaden Schwartz,Seattle Kraken
Matty Beniers,Seattle Kraken
Kaapo Kakko,Seattle Kraken
Shane Wright,Seattle Kraken
Vince Dunn,Seattle Kraken
Jake Neighbours,St. Louis Blues
Brayden Schenn,St. Louis Blues
Dylan Holloway,St. Louis Blues
Jordan Kyrou,St. Louis Blues
Justin Faulk,St. Louis Blues
Jake Guentzel,Tampa Bay Lightning
Brayden Point,Tampa Bay Lightning
Nikita Kucherov,Tampa Bay Lightning
Brandon Hagel,Tampa Bay Lightning
Victor Hedman,Tampa Bay Lightning
Matthew Knies,Toronto Maple Leafs
John Tavares,Toronto Maple Leafs
William Nylander,Toronto Maple Leafs
Mitch Marner,Toronto Maple Leafs
Auston Matthews,Toronto Maple Leafs
Nick Schmaltz,Utah Hockey Club
Barrett Hayton,Utah Hockey Club
Clayton Keller,Utah Hockey Club
Mikhail Sergachev,Utah Hockey Club
Dylan Guenther,Utah Hockey Club
Filip Chytil,Vancouver Canucks
Derek Forbort,Vancouver Canucks
Conor Garland,Vancouver Canucks
Brock Boeser,Vancouver Canucks
Filip Hronek,Vancouver Canucks
Mark Stone,Vegas Golden Knights
Jack Eichel,Vegas Golden Knights
Tomas Hertl,Vegas Golden Knights
Noah Hanifin,Vegas Golden Knights
Pavel Dorofeyev,Vegas Golden Knights
Tom Wilson,Washington Capitals
Dylan Strome,Washington Capitals
Pierre-Luc Dubois,Washington Capitals
Alex Ovechkin,Washington Capitals
John Carlson,Washington Capitals
Gabriel Vilardi,Winnipeg Jets
Mark Scheifele,Winnipeg Jets
Nikolaj Ehlers,Winnipeg Jets
Neal Pionk,Winnipeg Jets
Kyle Connor,Winnipeg Jets
